v1,v2,v3,v4,v5
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,Ah u recuerda cómo 2 ortografía su nombre... Sí lo hice.,,
ham,Fine if that��s the way u feel. That��s the way its gota b,Fine if that's the way you feel. -Fine si eso es la forma en que te sientes.,,
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/̼1.20 POBOXox36504W45WQ 16+","Txt ur equipo nacional a 87077 e.g. ENGLAND a 87077 Try:WALES, SCOTLAND 4txt/1.20 POBOXox36504W45WQ 16+",,
ham,Is that seriously how you spell his name?,¿Es serio cómo escribe su nombre?,,
ham,I���m going to try for 2 months ha ha only joking,Yo voy a intentar por 2 meses ha ha sólo bromeando,,
ham,So �_ pay first lar... Then when is da stock comin...,Así que... paga primero lar... Y luego cuando es da stock comin...,,
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,"A la hora de terminar mi almuerzo, luego me voy a bajar lor. Ard 3 smth lor. U termina ur almuerzo ya?",,
ham,Ffffffffff. Alright no way I can meet up with you sooner?,FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF,,
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,Just forced myself to eat a slice.I'm really not hungry tho. Esto sucks.Mark está siendo preocupado.El sabe que estoy enfermo cuando dejo la pizza.,,
ham,Lol your always so convincing.,Lol tu siempre tan convincente.,,
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,¿Has cogido el autobús? ¿estás fritando un huevo? ¿estás preparando un té? ¿estás comiendo el resto de tu mamá durante la cena? ¿sentirás mi amor?,,
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room","Estoy de vuelta &amp; estamos empacando el coche ahora, te diré si hay espacio",,
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. trabajo. me acuerdo vagamente de eso! ¿Cómo se siente? lol,,
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Espere que todavía no está todo tan claro, ¿no estás seguro de que soy sarcástico o que es por eso que X no quiere vivir con nosotros",,
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,"Sí, entró a las 2 y fue v apologetic. n había caído y ella era actin como un niño arruinado y él se quedó atrapado en eso. hasta 2! Pero no vamos a ir allí! No hacer el aplauso demasiado mal.",,
ham,K tell me anything about you.,R. Cuéntanos algo de ti.,,
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,¿Por miedo a desmayarse con todas las tareas de la casa que acaba de hacer?,,
spam,Thanks for your subscription to Ringtone UK your mobile will be charged �5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,"Gracias por su suscripción a Ringtone UK su móvil se cargará 5/mes Por favor, confirme respondiendo SÍ o NO. Si responde NO no se le cargará",,
ham,Yup... Ok i go home look at the timings then i msg �_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Yup... Ok, voy a casa a ver los horarios, entonces msg _ de nuevo... Xuhui también va a aprender el 2 de mayo, pero su lección es a las 8 de la mañana",,
ham,"Oops, I'll let you know when my roommate's done","Oops, te informaré cuando mi compañero de cuarto haya terminado",,
ham,I see the letter B on my car,Veo la letra B en mi coche,,
ham,Anything lor... U decide...,Cualquier cosa que decidas...,,
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hola! ¿Cómo está usted y cómo fue el sábado? sólo estaba enviando mensajes de texto para ver si había decidido hacer algo tomo.,,
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Pls van adelante con watts. yo sólo quería estar seguro. Do tener un gran fin de semana. Abiola,,
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","¿Me olvidé de decirte? te quiero, te necesito, te animo... Pero sobre todo... te amo mi dulce estadio árabe... Mmmmmm... Yummy",,
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,07732584351 - Rodger Burns - MSG = Hemos intentado llamarle re su respuesta a nuestro sms para un móvil gratis nokia + camcorder gratis. Por favor llame ahora 08000930705 para la entrega mañana,,
ham,WHO ARE YOU SEEING?,¿A quién estáis viendo?,,
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,Espero que te guste tu hombre bien dotado. soy &lt;#&gt; pulgadas...,,
ham,No calls..messages..missed calls,"No hay llamadas, mensajes, llamadas perdidas",,
ham,Didn't you get hep b immunisation in nigeria.,¿Habéis obtenido la inmunización contra la hepatitis B en Nigeria?,,
ham,"Fair enough, anything going on?","¿Es justo lo suficiente, algo está pasando?",,
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","Sí, espero, si Tyler no puede hacerlo podría preguntar un poco",,
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,U no sabe cuán obstinado soy. ni siquiera quería ir al hospital. Siguió diciendo a Mark que no soy un suculento débil.,,
ham,What you thinked about me. First time you saw me in class.,¿Qué piensas de mí? la primera vez que me ves en clase.,,
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;","Un gramo suele correr como &lt;#&gt;, una mitad del octavo es más inteligente y te da casi un segundo gramo entero para &lt;#&gt;",,
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,"K fyi x tiene un viaje temprano mañana por la mañana, pero esta noche se estrella en nuestro lugar",,
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""","Nunca me di cuenta de que estuvieras tan avergonzado por tu alojamiento. pensé que te gustó, ya que estaba haciendo lo mejor que podía y siempre parecías tan feliz por la cueva"".",,
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,SMS. ac Sptv: Los diablos de Nueva Jersey y las alas rojas de Detroit juegan hockey sobre hielo. correcto o incorrecto? final? responder END SPTV,,
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,¿Sabes lo que Mallika Sherawat hizo ayer? Descubre ahora @ &lt;URL&gt;,,
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ","¡Congrats! 1 año de pases especiales de cine para 2 es tuyo. llamar 09061209465 ahora! C Suprman V, Matrix3, StarWars3, etc todos 4 GRATIS! bx420-ip4-5we. 150pm. No te pierdas!",,
ham,"Sorry, I'll call later in meeting.","Perdón, te llamaré más tarde en la reunión.",,
ham,Tell where you reached,Dime dónde has llegado,,
ham,Yes..gauti and sehwag out of odi series.,Sí..gauti y sehwag fuera de la serie odi.,,
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,Tu vas a tener que coger un hamburgués de $ 1 para ti mismo en el camino a casa. no puedo ni siquiera moverse.,,
ham,Ha ha ha good joke. Girls are situation seekers.,"Las chicas son buenas chicas, las chicas son buenas chicas.",,
ham,Its a part of checking IQ,Es parte de la verificación del IQ,,
ham,"Sorry my roommates took forever, it ok if I come by now?","Lo siento mis compañeros de habitación se llevaron para siempre, ¿está bien si yo vengo por ahora?",,
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar i double check wif da hairdresser ya él dijo wun corte v corto.,,
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a �1500 Bonus Prize, call 09066364589","Como cliente valorado, estoy encantado de aconsejarle que después de la reciente revisión de su Mob No. se le concede un premio de bonificación de 1500, llame 09066364589",,
ham,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""","Hoy es el día dedicado a la canción... ¿Qué canción dedicarás para mí? Envíe esto a todos los frnds valiosos, pero primero rply me...""",,
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or �1000. To claim txt DIS to 87121 18+6*�1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ","Urgent UR otorgó un viaje gratuito a EuroDisinc Trav, Aco&Entry41 O 1000. Para reclamar txt DIS a 87121 18+6* 1.50(másFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,
spam,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""","¿Has oído hablar de la nueva \Divorce Barbie\""? ¡Viene con todas las cosas de Ken!""",,
ham,I plane to give on this month end.,Estoy planeando dar en el final de este mes.,,
ham,Wah lucky man... Then can save money... Hee...,Un hombre afortunado... Entonces puede ahorrar dinero...,,
ham,Finished class where are you.,Finalizada la clase donde estás.,,
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,Hola bebé en casa ¿Quiere hacer algo?,,
ham,K..k:)where are you?how did you performed?,R: ¿Dónde estás? ¿cómo te has comportado?,,
ham,U can call me now...,Puedes llamarme ahora...,,
ham,I am waiting machan. Call me once you free.,Estoy esperando machan. llámame una vez que esté libre.,,
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Soy un caballero y te trataré con dignidad y respeto.,,
ham,I like you peoples very much:) but am very shy pa.,"Me gustan mucho, pero soy muy tímido.",,
ham,Does not operate after  &lt;#&gt;  or what,¿No funciona después de &lt;#&gt; o lo que,,
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,No es lo mismo aquí. Aún buscan un trabajo. ¿Cuánto gana Ta allí.,,
ham,"Sorry, I'll call later","Perdón, te llamaré más tarde",,
ham,K. Did you call me just now ah? ,K. ¿Me has llamado ahora mismo?,,
ham,Ok i am on the way to home hi hi,Estoy en camino a casa hi hi,,
ham,You will be in the place of that man,Estarás en el lugar de ese hombre,,
ham,Yup next stop.,Yup siguiente parada.,,
ham,"I call you later, don't have network. If urgnt, sms me.","Te llamo más tarde, no tengas red. Si es urgente, mensaje.",,
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Sólo necesito 2 más entradas y una más chaqueta y ya estoy terminado.,,
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Sí, empecé a enviar solicitudes para hacerlo pero el dolor volvió así que estoy de vuelta en la cama. monedas dobles en la fábrica también.",,
ham,I'm really not up to it still tonight babe,Yo no estoy realmente hasta eso todavía esta noche babe,,
ham,"Ela kano.,il download, come wen ur free..","Ella kano.,il download, come wen ur free..",,
ham,Yeah do! Don���t stand to close tho- you���ll catch something!,Don t stand to close tho- you ll catch something! - ¡No te atreves a cerrar tho- ¡que vas a capturar algo!,,
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,Lo siento por ser un dolor. ¿está bien si nos encontramos otra noche? He pasado la tarde en la víctima y eso significa que no he hecho ninguna de las cosas42moro y que incluye todas mis hojas de tiempo y eso.,,
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Sonríe en el placer Sonríe en el dolor Sonríe en el dolor Sonríe en el dolor Sonríe en el placer Sonríe en el placer Sonríe en el dolor Alguien sigue amando verte Sonríe!!,,
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed �1000 cash or �5000 prize!,"Por favor, llame a nuestro representante de servicio al cliente en 0800 169 6031 entre las 10am-9pm como usted tiene un premio garantizado 1000 en efectivo o 5000!",,
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Tengo planes de comprar más adelante. ya he comprobado que Lido sólo obtuvo 530 espectáculos en la tarde.,,
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML","Su llamada gratuita está a la espera de ser recogida. Simplemente escriba la contraseña \MIX\"" a 85069 para verificar. Obtener Usher y Britney. FML"," MK17 92H. 450Ppw 16""",
ham,Watching telugu movie..wat abt u?,Ver la película de Telugu What Abt U?,,
ham,i see. When we finish we have loads of loans to pay,Cuando terminamos tenemos un montón de préstamos para pagar,,
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""
ham""",Hola Wk ha estado bien - en los agujeros ahora! Sí en para un poco de una carrera. Olvidó que tengo una cita de peluquería a las cuatro por lo que necesito ir a casa en la ducha de antemano.,,
ham,Please don't text me anymore. I have nothing else to say.,"Por favor, no me envíes más mensajes, no tengo más que decir.",,
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Okay nombre ur precio mientras sea legal! Wen puedo yo recogerlos? Y u ave x ams xx,,
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Todavía estoy buscando un coche para comprar y aún no he pasado la prueba de conducción.,,
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Como por su solicitud 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' ha sido establecido como su callertune para todos los llamados. Presione *9 para copiar a sus amigos Callertune,,
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","wow. tienes razón! no quería hacer eso. supongo que una vez que renuncié a los hombres de Boston y cambié mi ubicación de búsqueda a NYC, algo cambió.",,
ham,Umma my life and vava umma love you lot dear,Umma mi vida y vava umma te amo mucho cariño,,
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Muchas gracias por tus deseos en mi cumpleaños. gracias por hacer que mi cumpleaños sea realmente memorable.,,
ham,"Aight, I'll hit you up when I get some cash","Ocho, te golpearé cuando tenga un poco de dinero",,
ham,How would my ip address test that considering my computer isn't a minecraft server,Cómo podría mi dirección IP prueba que considerando mi ordenador no es un servidor minecraft,,
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,"¡Sé! gente vieja grumpy.Mi madre era como tú, mejor no estar mintiendo.Entonces de nuevo soy siempre la que bromea...",,
ham,Dont worry. I guess he's busy.,"No te preocupes, creo que está ocupado.",,
ham,What is the plural of the noun research?,¿Cuál es el plural de la investigación noun?,,
ham,Going for dinner.msg you after.,A la hora del almuerzo.msg usted después.,,
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Estoy bien si me gusta 2 intentar cosas nuevas. pero me asusté u dun como mah. Cos u dijo no demasiado fuerte.,,
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a �1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,GENT! Estamos tratando de ponerse en contacto contigo. El último sorteo del fin de semana muestra que has ganado un premio de 1000 GARANTIDO. Llamar 09064012160. Código de reclamación K52. Valido sólo 12 horas. 150ppm,,
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, ur openin sentencia muy formal... De todos modos, yo también estoy bien, juz tt estoy comiendo demasiado n puttin en peso...Haha... Así que alguna cosa especial sucedió?",,
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.","Cuando entré en mi cabina mi padre me dijo: ""¡Happy B'day Boss!!"". me sentí especial. Ella me pidió 4 almuerzos. Después del almuerzo me invitó a su apartamento.",,
spam,You are a winner U have been specially selected 2 receive �1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,U ha sido especialmente seleccionado 2 recibir 1000 o un 4* vacaciones (vuelos inc) hablar con un operador en vivo 2 reclamar 0871277810910p/min (18+),,
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,"¡Sí, tenemos que hablar el viernes - la proporción de huevo a patata para tortilla es necesaria!",,
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,Hmm... mi tío me informó que está pagando la escuela directamente.,,
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,PRIVADO! Tu declaración de cuenta de 2004 para 07742676969 muestra 786 puntos de bonificación no rescatados. Para reclamar llamando 08719180248 Código de identificación: 45239 Expira,,
spam,"URGENT! Your Mobile No. was awarded �2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM","URGENTE! Su Número Móvil fue galardonado con el Premio 2000 Bonus Caller el 5/9/03 Este es nuestro último intento de ponerse en contacto con U! Llamada desde la línea telefónica 09064019788 BOX42WR29C, 150PPM",,
ham,here is my new address -apples&pairs&all that malarky,Aquí está mi nueva dirección -apples&pairs&all that malarky,,
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,"Hoy en día, los números de Voda que terminan en 7548 se seleccionan para recibir un premio de $350. Si tiene un encuentro, llame a 08712300220 citando el código de reclamación de la aplicación de tarifas estándar 4041",,
ham,I am going to sao mu today. Will be done only at 12 ,"Estoy esperando por ti, pero no lo haré hasta las 12",,
ham,�� predict wat time �_'ll finish buying?,¿Preguntar cuánto tiempo terminará la compra?,,
ham,"Good stuff, will do.","Buen trabajo, lo hará.",,
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Sólo para que sepa, yetunde no ha enviado dinero todavía. yo sólo le envié un mensaje para no molestar el envío. Así que está acabado, no tiene que involucrarse en nada. no debería haber impuesto nada sobre usted en el primer lugar así que por eso, me disculpo.",,
ham,Are you there in room.,¿Estás ahí en la habitación?,,
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"Hola chica, ¿cómo te llamo?¡Hope U R WELL ME AN DEL R BAK!¡Otra vez por mucho tiempo no C!¡Dame una llamada por un tiempo desde Lucyxx!",,
ham,K..k:)how much does it cost?,R: ¿Cuánto cuesta esto?,,
ham,I'm home.,Estoy en casa.,,
ham,"Dear, will call Tmorrow.pls accomodate.","Querido, llamará a Tmorrow.pls acomodate.",,
ham,First answer my question.,Primero responde a mi pregunta.,,
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. �1.50 SP:Tyrone,Sunshine Quiz Wkly Q! Ganar un reproductor de DVD de Sony superior si u sabe en qué país se encuentra el Algarve? Txt ansr a 82277. 1.50 SP:Tyrone,,
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,¿Quieres que 2 se ponga esta noche? ¿Quieres que los lugares de Dogging reales se envíen directamente a 2 ur mob? Únete a la mayor red de Dogging del Reino Unido bt Txting GRAVEL a 69888! Nt. ec2a. 31p.msg@150p,,
ham,I only haf msn. It's yijue@hotmail.com,Yo sólo haf msn. Es yijue@hotmail.com,,
ham,He is there. You call and meet him,Él está ahí. llamas y te encuentras con él,,
ham,No no. I will check all rooms befor activities,No no. Revisaré todas las habitaciones antes de las actividades,,
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,Usted no va a rcv ningún más msgs del chat svc. Para GRATUITO Hardcore servicios texto GO a: 69988 Si u obtener nada u debe Edad Verificar con la red yr y intentar de nuevo,,
ham,Got c... I lazy to type... I forgot �_ in lect... I saw a pouch but like not v nice...,Tengo c... soy perezoso para escribir... me olvido _ en lect... he visto un bolsillo pero como no v bonito...,,
ham,"K, text me when you're on the way","K, mi mensaje cuando estás en el camino",,
ham,"Sir, Waiting for your mail.","Señor, a la espera de tu correo.",,
ham,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",Un pensamiento: “Nunca te canses de hacer cosas pequeñas” 4 personas amorosas... “A veces esas pequeñas cosas ocupan la mayor parte de sus corazones.,,
ham,I know you are. Can you pls open the back?,¿Puedes abrir la espalda? ¿Puedes abrir la espalda?,,
ham,Yes see ya not on the dot,"Sí, ya no se ve en el punto",,
ham,Whats the staff name who is taking class for us?,¿Cuál es el nombre del personal que está tomando clase para nosotros?,,
spam,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end","FreeMsg ¿Por qué no has respondido a mi texto? soy Randy, sexy, femenino y vivo local. Luv para escuchar de u. Netcollex Ltd 08700621170150p por respuesta msg",,
ham,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,Ummma.will llamar después de comprobar.nuestra vida comenzará en Qatar por lo que pls orar muy duro.,,
ham,K..i deleted my contact that why?,K. He borrado mi contacto ¿por qué?,,
ham,Sindu got job in birla soft ..,Sindu tiene un trabajo en birla soft..,,
ham,The wine is flowing and i'm i have nevering..,El vino fluye y yo no tengo nunca...,,
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,Yup i thk cine es mejor cos no need 2 go down 2 plaza mah.,,
ham,Ok... Ur typical reply...,Una respuesta típica...,,
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Como por su solicitud 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' ha sido establecido como su callertune para todos los llamados. Presione *9 para copiar a sus amigos Callertune,,
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.","Usted está en todas partes sucio, en el suelo, en las ventanas, incluso en mi camiseta.Y a veces cuando abro la boca, usted es todo lo que sale corriendo.Sueño de mi mundo sin ti, entonces la mitad de mis trabajos están fuera también.Un tiempo de alegría para mí, muchos programas de televisión i.ll ver.Pero supongo que como todas las cosas que sólo debe existir, como la lluvia, la niebla y la niebla, y cuando mi tiempo aquí se acaba, tú y yo se convierten en uno.",,
ham,Aaooooright are you at work?,¿Tienes ganas de ir al trabajo?,,
ham,I'm leaving my house now...,Ahora estoy saliendo de mi casa...,,
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?","Hola, amor mío. ¿Qué estás haciendo? ¿Has llegado a esa entrevista hoy? ¿Estás feliz? ¿Eres un buen chico? ¿Pensas en mí?",,
